Main Topic,Subtopic,Description,Code Snippets
Array,Basic terminologies of Array,"Array Index:  In an array, elements are identified by their indexes. Array index starts from 0. Array element:  Elements are items stored in an array and can be accessed by their index. Array Length:  The length of an array is determined by the number of elements it can contain.",
Array,Memory representation of Array,"In an array, all the elements are stored in contiguous memory locations. So, if we initialize an array, the elements will be allocated sequentially in memory. This allows for efficient access and manipulation of elements. ",
Array,Declaration of Array,"Arrays can be declared in various ways in different languages. For better illustration, below are python language-specific array declarations:","# In Python, all types of lists are created same way
arr = []"
Array,Initialization of Array,Arrays can be initialized in different ways in different languages. Below are some language-specific array initializations:,"# This list will store integer type elements
arr = [1, 2, 3, 4, 5]

# This list will store character type elements (strings in Python)
arr = ['a', 'b', 'c', 'd', 'e']

# This list will store float type elements
arr = [1.4, 2.0, 24.0, 5.0, 0.0]  # All float values"
Array,Why do we Need Arrays?,"Assume there is a class of five students and if we have to keep records of their marks in examination then, we can do this by declaring five variables individual and keeping track of records but what if the number of students becomes very large, it would be challenging to manipulate and maintain the data. What it means is that, we can use normal variables (v1, v2, v3, ..) when we have a small number of objects. But if we want to store a large number of instances, it becomes difficult to manage them with normal variables.  The idea of an array is to represent many instances in one variable . ",
Array,Types of Arrays,"Arrays can be classified in two ways: On the basis of Size On the basis of Dimensions 1. Fixed Sized Arrays: We cannot alter or update the size of this array.  Here only a fixed size (i,e. the size that is mentioned in square brackets  [] ) of memory will be allocated for storage. In case, we don’t know the size of the array then if we declare a larger size and store a lesser number of elements will result in a wastage of memory or we declare a lesser size than the number of elements then we won’t get enough memory to store all the elements. In such cases, static memory allocation is not preferred.  2. Dynamic Sized Arrays: The size of the array changes as per user requirements during execution of code so the coders do not have to worry about sizes. They can add and removed the elements as per the need. The memory is mostly dynamically allocated and de-allocated in these arrays. 1. One-dimensional Array(1-D Array):  You can imagine a 1d array as a row, where elements are stored one after another.  2. Multi-dimensional Array:  A multi-dimensional array is an array with more than one dimension. We can use multidimensional array to store complex data in the form of tables, etc. We can have 2-D arrays, 3-D arrays, 4-D arrays and so on. Two-Dimensional Array(2-D Array or Matrix):   2-D Multidimensional arrays can be considered as an array of arrays or as a matrix consisting of rows and columns.  Three-Dimensional Array(3-D Array):  A 3-D Multidimensional array contains three dimensions, so it can be considered an array of two-dimensional arrays. ","# Create a fixed-size list of length 5, 
# initialized with zeros
arr = [0] * 5

# Output the fixed-size list
print(arr)
# Dynamic Array
arr = []"
Array,Operations on Array,Array traversal involves visiting all the elements of the array once. Below is the implementation of Array traversal in different Languages: We can insert one or multiple elements at any position in the array. Below is the implementation of Insertion in Array in different languages: We can delete an element at any index in an array. Below is the implementation of Deletion of element in an array: We can traverse over an array and search for an element. Below is the implementation of Searching of element in an array:,"# This list will store integer type elements
arr = [1, 2, 3, 4, 5]

# Traversing over arr
for i in range(len(arr)):
    print(arr[i], end="" "")
# Example usage
arr = [1, 2, 3, 4, 5]
x = 10  # Element to be inserted
pos = 2  # Position to insert the element

arr.insert(pos, x)

# Print the updated list
print(""Updated List:"", arr)
# Initialize a list
arr = [10, 20, 30, 40, 50]

# Value to delete
key = 40

# Remove the element with the specified value
# if present in the list
if key in arr:
   arr.remove(key)
else:
   print(""Element Not Found"")

# Output the modified list
print(arr)  # Output: [10, 20, 30, 50]
# Function to implement search operation
def find_element(arr, n, key):
    for i in range(n):
        if arr[i] == key:
            return i
    return -1"
Hashing,Hash Data Structure Overview,"It is one of the most widely used data structure after arrays.  
 It mainly supports search, insert and delete in O(1) time on average which is more efficient than other popular data structures like arrays, Linked List and  Self Balancing BST . 
 We use hashing for dictionaries, frequency counting, maintaining data for quick access by key, etc.  
 Real World Applications include Database Indexing, Cryptography, Caches, Symbol Table and Dictionaries. 
 There are mainly two forms of hash typically implemented in programming languages.  Hash Set  :  Collection of unique keys (Implemented as  Set in Python ,  Set in JavaScrtipt ,  unordered_set in C++  and  HashSet in Java . Hash Map  : Collection of key value pairs with keys being unique (Implemented as  dictionary in Python,   Map in JavaScript ,  unordered_map in C++  and  HashMap in Java ) Need to maintain sorted data along with search, insert and delete. We use a self balancing BST in these cases. 
 When Strings are keys and we need operations like prefix search along with search, insert and delete. We use Trie in these cases. 
 When we need operations like floor and ceiling along with search, insert and/or delete. We use Self Balancing BST in these cases.",
Hashing,Components of Hashing,"There are majorly three components of hashing:

Key: A Key can be anything string or integer which is fed as input in the hash function the technique that determines an index or location for storage of an item in a data structure.
Hash Function: Receives the input key and returns the index of an element in an array called a hash table. The index is known as the hash index .
Hash Table: Hash table is typically an array of lists. It stores values corresponding to the keys. Hash stores the data in an associative manner in an array where each data value has its own unique index",
Hashing,How does Hashing work?,"Suppose we have a set of strings {“ab”, “cd”, “efg”} and we would like to store it in a table. Step 1:  We know that hash functions (which is some mathematical formula) are used to calculate the hash value which acts as the index of the data structure where the value will be stored.  
 Step 2:  So, let’s assign  
 
  “a” = 1,  
  “b”=2, .. etc, to all alphabetical characters.  
 
 
 Step 3:  Therefore, the numerical value by summation of all characters of the string: Step 4:  Now, assume that we have a table of size 7 to store these strings. The hash function that is used here is the sum of the characters in   key mod Table size   . We can compute the location of the string in the array by taking the   sum(string) mod 7   .  
 Step 5:   So we will then store  
 
  “ab” in 3 mod 7 = 3,  
  “cd” in 7 mod 7 = 0, and  
  “efg” in 18 mod 7 = 4.  The above technique enables us to calculate the location of a given string by using a simple hash function and rapidly find the value that is stored in that location. Therefore the idea of hashing seems like a great way to store (key, value) pairs of the data in a table.",
